element,level,t,r,theta,phi,pred spherical_coordinates_N1675k.csv
1655624,65,0.8038537558339033,0.057359728352983,0.8032108625407773,0.580923627663055,[1645132 1647527 1651241]
1656970,65,0.8072195272637943,0.03442472964208198,2.05372011069301,0.19040266573050427,[1646127 1651424]
1656651,66,0.8064024831362566,0.04582503982980254,1.3070631551083296,0.5430832067952216,[1652692 1652712]
1656996,66,0.8072751714180249,0.05425062430429555,1.3893079662924492,0.2887819280833296,[1652712]
1657450,66,0.8084641153506461,0.03548432755017094,0.3516713775694738,0.2849249393453645,[1652703]
1657789,66,0.8094075044808126,0.054282164983285065,0.7153184538047083,0.5634073863421005,[1655624]
1660258,66,0.8165451987847722,0.0432145947655783,2.1570721319076287,0.15407981090267261,[1652712 1654749 1656970]
1659205,67,0.8133953209640276,0.04624851650927131,1.5102169131330436,0.4346606651573902,[1656651]
1660610,67,0.817542952852093,0.05845082316719608,0.6152000768361315,0.5166269754965114,[1657789]
1663242,67,0.826447160685324,0.05388803899033074,-3.0837467255261513,0.1156532402894516,[1656996]
1664555,67,0.8314009080145812,0.050304240622544995,-1.8617283794054393,0.04741112906752207,[1656996 1657450 1660258]
1664895,68,0.8326622948274843,0.047595030038685975,0.2094938600419724,0.5153373004027962,[1660610]
1666977,68,0.8412934152032462,0.048910061716097686,-0.780104248441344,0.17835444182907467,[1659205 1663242 1664555]
1667917,69,0.8460470706896206,0.04790558252541566,-1.2752562877243039,0.19406214305316744,[1666977]
1668262,69,0.8478796864039969,0.039689940917868774,0.005368788440368045,0.6645418516895847,[1664895]
1668900,70,0.851394726275458,0.05047817218496817,-1.3723984720554265,0.24205079482061911,[1667917]
1670193,70,0.8596890297781662,0.042486206344354085,-0.4187297846905424,0.3031623292676124,[1667917]
1671087,70,0.8663782000253422,0.030042832713886573,-0.4674740688919321,0.45035144285693224,[1668262]
1671168,71,0.8668916223301253,0.06209217361433661,-1.1909666699923467,0.3245383670538145,[1668900]
1671834,71,0.8720855161350907,0.0494361008417769,-0.9728662066734383,0.4820227651623885,[1668900]
1672097,71,0.874293560143668,0.0433438533075963,-0.13745212428666884,0.0932232517138314,[1668900 1670193]
